11:00 AM,FM9206,Fuzhou(FOC),Shanghai Airlines,B737(B-5808),,Landed10:49 AM
11:15 AM,MU2151,Xi'an(XIY),China Eastern Airlines,A333(B-6095),,Landed10:58 AM
11:15 AM,MU5104,Beijing(PEK),China Eastern Airlines,A333(B-300P),,Landed10:56 AM
11:20 AM,CA1838,Guangzhou(CAN),Air China,A333(B-5948),,Landed10:59 AM
11:20 AM,MU5801,Kunming(KMG),China Eastern Airlines,B789(B-209N),,Landed10:47 AM
11:25 AM,CZ3553,Shenzhen(SZX),China Southern Airlines,A333(B-6502),,Landed11:26 AM
11:25 AM,JL81,Tokyo(HND),Japan Airlines,B772(JA703J),,Landed11:14 AM
11:25 AM,FM9416,Lianyungang(LYG),Shanghai Airlines,B738(B-5833),,Landed11:10 AM
11:30 AM,CZ3545,Guangzhou(CAN),China Southern Airlines,B77W(B-20C5),,Landed11:10 AM
11:35 AM,FM9074,Yantai(YNT),Shanghai Airlines,B738(B-5691),,Landed11:18 AM
11:35 AM,MU5572,Jinan(TNA),China Eastern Airlines (Duffy Friendship Express),B738(B-1316),,Landed11:28 AM
11:35 AM,9C8910,Jinjiang(JJN),Spring Airlines,A20N(B-308V),,Landed11:37 AM
11:40 AM,CA1519,Beijing(PEK),Air China,B77W(B-1428),,Landed11:25 AM
11:40 AM,MU5334,Shenzhen(SZX),China Eastern Airlines,A321(B-2419),,Landed12:14 PM
11:40 AM,9C8816,Xiamen(XMN),Spring Airlines,A320(B-8591),,Landed11:27 AM
11:45 AM,EU6671,Yueyang(YYA),Chengdu Airlines,AJ27(B-3328),,Unknown
11:45 AM,MU5406,Chengdu(CTU),China Eastern Airlines,B738(B-5517),,Landed11:37 AM
11:50 AM,FM9228,Changsha(CSX),Shanghai Airlines,B738(B-5705),,Landed12:18 PM
11:50 AM,MU5314,Guangzhou(CAN),China United Airlines,B738(B-5839),,Landed11:49 AM
11:50 AM,9C8958,Jieyang(SWA),Spring Airlines,A320(B-6708),,Landed11:55 AM
11:55 AM,MF8541,Fuzhou(FOC),Xiamen Air,B738(B-5752),,Landed12:06 PM
11:55 AM,MU5803,Kunming(KMG),China Eastern Airlines,B738(B-1253),,Landed12:45 PM
